City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
103,Arraial Do Cabo,BR,2022-09-20 16:04:34,-22.9661,-42.0278,76.86,65,0,10.36
104,Zheleznodorozhnyy,RU,2022-09-20 16:04:34,55.7503,38.0042,54.12,70,18,5.91
105,Port Alfred,ZA,2022-09-20 16:04:35,-33.5906,26.891,62.19,79,73,9.89
106,Inta,RU,2022-09-20 16:04:35,66.0317,60.1659,51.76,83,57,14.18
107,Qaanaaq,GL,2022-09-20 16:04:35,77.484,-69.3632,22.32,60,100,7.83
108,Kavos,GR,2022-09-20 16:04:36,38.8268,22.8322,76.96,56,12,8.59
109,Tessalit,ML,2022-09-20 16:04:36,20.1986,1.0114,102.47,17,52,16.89
110,Eyl,SO,2022-09-20 16:06:53,7.9803,49.8164,79.12,80,61,21.54
111,Makakilo City,US,2022-09-20 16:06:54,21.3469,-158.0858,77.32,69,20,9.22
112,Esperance,AU,2022-09-20 16:06:54,-33.8667,121.9,56.82,76,52,12.93
113,Cabo San Lucas,MX,2022-09-20 16:06:54,22.8909,-109.9124,84.06,86,100,17.27
114,Healdsburg,US,2022-09-20 16:06:55,38.6105,-122.8692,63.9,78,40,3.44
115,Kruisfontein,ZA,2022-09-20 16:06:55,-34.0033,24.7314,56.59,69,0,7.92
116,Deputatskiy,RU,2022-09-20 16:06:55,69.3,139.9,25.09,97,100,4.29
117,Fortuna,US,2022-09-20 16:06:56,40.5982,-124.1573,57.92,92,100,1.01
118,Chimoio,MZ,2022-09-20 16:06:56,-19.1164,33.4833,83.8,25,0,9.89
119,Kwinana,AU,2022-09-20 16:06:57,-32.25,115.7667,56.17,73,2,11.81
120,Oksfjord,NO,2022-09-20 16:06:57,70.2396,22.3479,42.98,77,95,6.11
121,Brae,GB,2022-09-20 16:06:57,60.3964,-1.353,55.29,89,100,14.52
122,Dikson,RU,2022-09-20 16:06:58,73.5069,80.5464,30.88,76,100,15.61
123,Longyearbyen,SJ,2022-09-20 16:06:58,78.2186,15.6401,37.24,65,40,21.85
124,Sayyan,YE,2022-09-20 16:06:58,15.1718,44.3244,69.73,33,86,5.68
125,Tuktoyaktuk,CA,2022-09-20 16:06:59,69.4541,-133.0374,42.26,73,100,8.99
126,Leninsk,RU,2022-09-20 16:06:59,48.7119,45.1994,66.27,58,24,10.13
127,Lagoa,PT,2022-09-20 16:06:59,39.05,-27.9833,73.69,80,85,2.77
128,Cidreira,BR,2022-09-20 16:07:00,-30.1811,-50.2056,67.32,72,53,11.3
129,Hambantota,LK,2022-09-20 16:07:00,6.1241,81.1185,82.74,83,20,10.36
130,Mar Del Plata,AR,2022-09-20 16:07:00,-38.0023,-57.5575,58.08,64,0,10.0
131,Susaki,JP,2022-09-20 16:07:01,33.3667,133.2833,63.64,76,86,6.17
132,Ponta Do Sol,PT,2022-09-20 16:07:01,32.6667,-17.1,79.0,78,58,5.41
133,Cedar City,US,2022-09-20 16:04:51,37.6775,-113.0619,71.4,37,0,12.66
134,Pangkalanbuun,ID,2022-09-20 16:07:01,-2.6833,111.6167,73.31,96,100,2.35
135,College,US,2022-09-20 16:08:02,64.8569,-147.8028,44.55,92,75,9.22
136,Paramonga,PE,2022-09-20 16:08:02,-10.6667,-77.8333,64.33,75,83,12.26
137,Cherskiy,RU,2022-09-20 16:08:03,68.75,161.3,38.37,43,100,10.56
138,Alta Floresta,BR,2022-09-20 16:08:03,-9.8756,-56.0861,98.74,30,36,3.29
139,Ewa Beach,US,2022-09-20 16:08:03,21.3156,-158.0072,78.75,68,20,9.22
140,Yumen,CN,2022-09-20 16:08:04,40.2833,97.2,65.98,29,0,6.46
141,Leningradskiy,RU,2022-09-20 16:08:04,69.3833,178.4167,29.68,85,8,8.46
142,Hay River,CA,2022-09-20 16:05:40,60.8156,-115.7999,48.45,57,10,5.68
143,Tambacounda,SN,2022-09-20 16:08:05,13.7539,-13.7586,87.69,63,100,3.8
144,Provideniya,RU,2022-09-20 16:08:05,64.3833,-173.3,37.38,78,31,0.92
145,Shushenskoye,RU,2022-09-20 16:08:05,53.325,91.9356,48.6,81,70,3.56
146,Itarema,BR,2022-09-20 16:05:20,-2.9248,-39.9167,88.61,51,81,19.84
147,Porto Novo,BJ,2022-09-20 16:08:06,6.4965,2.6036,80.76,72,53,9.86
148,Hirara,JP,2022-09-20 16:08:06,24.8,125.2833,80.15,81,80,17.92
149,Boende,CD,2022-09-20 16:08:06,-0.2167,20.8667,81.37,72,95,2.71
150,Erenhot,CN,2022-09-20 16:08:07,43.6475,111.9767,57.07,35,0,9.17
151,Tadine,NC,2022-09-20 16:08:07,-21.55,167.8833,72.61,85,0,8.75
152,Khasan,RU,2022-09-20 16:08:08,42.4308,130.6434,49.57,57,12,7.09
153,Olga,RU,2022-09-20 16:08:08,43.7444,135.2892,39.04,59,0,5.1
154,Gewane,ET,2022-09-20 16:08:08,10.1664,40.6453,86.41,40,98,13.13
155,Bayan,CN,2022-09-20 16:08:09,46.0833,127.4,42.04,58,28,8.57
156,Maine-Soroa,NE,2022-09-20 16:08:09,13.2114,12.0241,92.66,39,76,2.15
157,Medina,SA,2022-09-20 16:08:09,24.4686,39.6142,99.03,8,0,16.11
158,Thinadhoo,MV,2022-09-20 16:08:10,0.5333,72.9333,82.24,71,76,4.59
159,Nome,US,2022-09-20 16:08:10,64.5011,-165.4064,35.67,100,75,4.61
160,La Romana,DO,2022-09-20 16:08:11,18.4273,-68.9728,81.99,84,99,17.56
161,Urumqi,CN,2022-09-20 16:08:02,43.801,87.6005,63.55,30,0,6.71
162,Tazovskiy,RU,2022-09-20 16:08:11,67.4667,78.7,35.22,63,100,16.82
163,Rameswaram,IN,2022-09-20 16:08:11,9.2833,79.3,81.37,83,87,24.05
164,Mackenzie,CA,2022-09-20 16:08:12,55.2999,-123.1698,44.38,63,10,3.67
165,Moron,AR,2022-09-20 16:05:13,-34.6534,-58.6198,62.02,55,98,5.19
166,Odweyne,SO,2022-09-20 16:08:12,9.4092,45.064,83.16,40,53,16.28
167,Sitka,US,2022-09-20 16:08:13,57.0531,-135.33,53.49,82,75,4.61
168,Laela,TZ,2022-09-20 16:08:13,-8.5667,32.05,77.95,25,3,4.59
