City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
406,Santa Cruz,BO,85.46,scattered clouds,-17.8,-63.1667,Aviador Hotel Boutique
407,Riohacha,CO,84.31,broken clouds,11.5444,-72.9072,Hotel Taroa
409,Carutapera,BR,78.04,broken clouds,-1.195,-46.02,Lidera
420,Vieques,PR,85.1,scattered clouds,18.425,-65.8329,"The St. Regis Bahia Beach Resort, Puerto Rico"
421,Kharan,PK,82.94,clear sky,28.5833,65.4167,Dil Aram Bangla
425,Cabedelo,BR,77.67,scattered clouds,-6.9811,-34.8339,Pousada Camboinha
426,Alyangula,AU,79.18,broken clouds,-13.8483,136.4192,Groote Eylandt Lodge
430,Matiari,PK,79.34,clear sky,25.5961,68.4467,Zawar Khadim Hussain HOUES
439,Kloulklubed,PW,77.5,overcast clouds,7.0419,134.2556,Storyboard Beach Resort
442,Muhammadabad,IN,78.17,overcast clouds,25.6333,83.75,SAIF'S HOUSE
448,Mazabuka,ZM,80.31,overcast clouds,-15.856,27.748,kachali king traders
449,Popondetta,PG,81.91,overcast clouds,-8.7537,148.2534,Timos Transit House
450,Nuevo Progreso,MX,86.47,few clouds,23.1667,-97.95,Balneario Rio el Paraiso
453,Tucurui,BR,86.83,overcast clouds,-3.7661,-49.6725,BBB Rooms Centro Tucurui PA
454,Nizwa,OM,82.6,few clouds,22.9333,57.5333,Orient Apartments
456,Cabo San Lucas,MX,83.61,broken clouds,22.8909,-109.9124,Hotel Tesoro Los Cabos
457,Manggar,ID,79.75,overcast clouds,-2.8833,108.2667,Guest Hotel
465,Sao Bernardo,BR,78.3,scattered clouds,-3.3614,-42.4178,Hotel Prado
470,Baculin,PH,77.77,overcast clouds,7.4525,126.5842,Baculin Cove Beach Resort
473,Sonsonate,SV,75.38,overcast clouds,13.7189,-89.7242,Hotel Plaza
486,Madhupur,IN,76.32,broken clouds,24.25,86.65,Hotel Kumar International
487,Bahia Honda,CU,83.3,few clouds,22.9036,-83.1592,Casa Gualberto - Deysi
493,Buchanan,LR,75.31,light rain,5.8808,-10.0467,Kamaneahn Hotel Inc
502,Pabna,BD,78.24,few clouds,24.0,89.25,Hotel Dream Palace International
503,Wanning,CN,78.4,overcast clouds,18.8003,110.3967,Paradise Hotel
505,Mulege,MX,89.96,overcast clouds,26.8833,-111.9833,Casa Granada
511,Bubaque,GW,76.41,light rain,11.2833,-15.8333,"Casa Dora, Bubaque"
512,Guiratinga,BR,82.6,moderate rain,-16.3494,-53.7583,Hotel Angra do Cerrado - Guiratinga MT
513,Labuhan,ID,77.22,overcast clouds,-6.8844,112.2051,DoubleFAG
514,Bom Jesus,BR,87.03,scattered clouds,-9.0744,-44.3586,Hotel Brasão & Floricultura Bella Flor
516,Sao Joao Da Barra,BR,75.29,scattered clouds,-21.6403,-41.0511,Pousada Porto De Canoas
517,Aragarcas,BR,84.85,moderate rain,-15.8975,-52.2508,Pousada Tropical
520,Dwarka,IN,79.83,few clouds,22.2394,68.9678,Hotel Narayan Avezika Comfort
521,Pacific Grove,US,75.42,few clouds,36.6177,-121.9166,Lovers Point Inn
524,Edgewater,US,84.25,scattered clouds,28.9889,-80.9023,Islander Beach Resort
525,Gumdag,TM,75.51,clear sky,39.2061,54.5906,
527,Ranong,TH,78.69,overcast clouds,9.9658,98.6348,Numsai Khaosuay Resort Ranong
530,Salalah,OM,76.3,scattered clouds,17.0151,54.0924,"HAMDAN PLAZA HOTEL SALALAH, an HTG Hotel"
535,Le Moule,GP,84.24,overcast clouds,16.3332,-61.3473,Lakaz Hananou
537,Bowen,AU,76.28,overcast clouds,-20.0167,148.2333,Castle Motor Lodge Motel
538,Kulhudhuffushi,MV,80.33,broken clouds,6.6221,73.07,Haajy Guest House 1
543,Dhidhdhoo,MV,80.67,broken clouds,6.8833,73.1,Dhidhoo beach
544,Sibu,MY,75.51,light rain,2.3,111.8167,RH HOTEL (4 Star)
549,Tabas,IR,77.22,clear sky,33.5959,56.9244,شرکت معماری مهراز شایگان آراد
551,Eyl,SO,78.01,broken clouds,7.9803,49.8164,Amiin Hotel
553,Wattegama,LK,75.38,clear sky,6.7989,81.4808,
555,Mayo,US,84.13,few clouds,38.8876,-76.5119,Resorts Resource Group International
557,Pozo Colorado,PY,77.31,overcast clouds,-23.4923,-58.7972,Hospedaje La Norteña
564,Qingyuan,CN,80.58,broken clouds,23.7,113.0333,Guojin Commercial Hotel
565,Bathsheba,BB,84.81,few clouds,13.2167,-59.5167,Atlantis Hotel
575,Tual,ID,82.09,overcast clouds,-5.6667,132.75,Grand Vilia Hotel
576,Puerto Madero,MX,81.63,broken clouds,14.7208,-92.4215,DEPARTAMENTOS LA ESTANCIA
580,Kerema,PG,80.62,scattered clouds,-7.9631,145.7785,Frena Lodge
586,La Macarena,CO,84.74,overcast clouds,2.1837,-73.7849,Casa Hotel Real
588,Dera Bugti,PK,84.29,clear sky,29.0307,69.151,Nawab Bugti House
590,Rapid Valley,US,76.77,clear sky,44.0625,-103.1463,Fairfield Inn & Suites by Marriott Rapid City
591,Tavares,US,86.13,moderate rain,28.8042,-81.7256,"Holiday Inn Express & Suites Tavares - Leesburg, an IHG Hotel"
594,Acapulco,MX,80.98,overcast clouds,16.8634,-99.8901,HS Hotsson Smart Acapulco
596,Namatanai,PG,78.66,light rain,-3.6667,152.4333,Seagulls Inn Namatani
598,Kattivakkam,IN,84.29,overcast clouds,13.2167,80.3167,Euronova Freezer
599,Lahij,YE,88.02,broken clouds,13.1667,44.5833,
605,Bambanglipuro,ID,75.34,overcast clouds,-7.95,110.2833,Puri Brata
610,Yangjiang,CN,75.27,light rain,21.85,111.9667,HUALUXE Yangjiang City Center
612,Westport,US,78.08,broken clouds,41.1415,-73.3579,The Westport Inn
613,Naica,MX,83.57,broken clouds,27.85,-105.4833,Departamentos Nicole
614,Porto Nacional,BR,89.6,overcast clouds,-10.7081,-48.4172,Vila Real Hotel
616,Jalu,LY,86.02,clear sky,29.0331,21.5482,صاحبة الفخامة
